word = 07, count = 1
word = 1, count = 37
word = 10, count = 4
word = 100, count = 2
word = 10000, count = 1
word = 100000, count = 1
word = 112, count = 1
word = 124, count = 1
word = 13, count = 2
word = 130, count = 1
word = 133, count = 1
word = 136, count = 1
word = 142, count = 1
word = 154, count = 1
word = 15y, count = 1
word = 160, count = 1
word = 160000, count = 1
word = 169, count = 1
word = 178, count = 1
word = 1789, count = 3
word = 1807, count = 13
word = 1810, count = 3
word = 1812the, count = 2
word = 1813, count = 11
word = 1849, count = 1
word = 1861, count = 1
word = 1864, count = 1
word = 1894, count = 1
word = 18th, count = 1
word = 19, count = 1
word = 1906, count = 2
word = 1918, count = 1
word = 1c, count = 10
word = 1e1, count = 25
word = 1e4, count = 5
word = 1e7, count = 15
word = 1f, count = 5
word = 1f3, count = 22
word = 1f6, count = 5
word = 1st, count = 2
word = 2011, count = 2
word = 208, count = 1
word = 217, count = 1
word = 22, count = 2
word = 223, count = 1
word = 22nd, count = 1
word = 2497, count = 1
word = 24th, count = 1
word = 25, count = 2
word = 2500, count = 1
word = 2554, count = 1
word = 25548zip, count = 1
word = 2600txt, count = 1
word = 27916, count = 1
word = 279168zip, count = 1
word = 27th, count = 1
word = 28, count = 3
word = 31, count = 1
word = 36034, count = 1
word = 360348zip, count = 1
word = 39295, count = 1
word = 392958zip, count = 1
word = 3rd, count = 4
word = 4, count = 20
word = 40, count = 1
word = 49, count = 1
word = 4x, count = 1
word = 52, count = 1
word = 646221541, count = 5
word = 6th, count = 2
word = 7, count = 3
word = 70, count = 1
word = 700, count = 1
word = 70000, count = 1
word = 99712, count = 5
word = 9th, count = 1
word = a, count = 18939
word = aach, count = 4
word = aah, count = 6
word = abandon, count = 33
word = abandoned, count = 68
word = abbe, count = 18
word = abbeys, count = 1
word = abbreviated, count = 1
word = abbreviations, count = 1
word = abdicate, count = 1
word = abdomen, count = 2
word = abhorrence, count = 2
word = abide, count = 5
word = ability, count = 6
word = abjectly, count = 2
word = abjectness, count = 3
word = abjure, count = 1
word = abnormally, count = 1
word = abode, count = 1
word = abolished, count = 1
word = abominable, count = 10
word = abomination, count = 1
word = abounding, count = 1
word = above, count = 197
word = abramovna, count = 1
word = abreast, count = 5
word = abrupt, count = 10
word = absentees, count = 1
word = absentminded, count = 17
word = absorb, count = 1
word = absorbed, count = 50
word = abstain, count = 4
word = abstained, count = 2
word = abstention, count = 1
word = abstract, count = 13
word = abstraction, count = 6
word = absurdly, count = 3
word = abuse, count = 25
word = abyss, count = 4
word = accenthaving, count = 1
word = accept, count = 60
word = acceptable, count = 1
word = acceptance, count = 2
word = accepted, count = 53
word = accepting, count = 10
word = accidents, count = 2
word = acclaimed, count = 1
word = accomplice, count = 2
word = accoucheur, count = 1
word = accounts, count = 26
word = accrue, count = 1
word = accumulated, count = 3
word = accuracy, count = 6
word = accurate, count = 2
word = accusations, count = 4
word = accustomed, count = 53
word = ached, count = 16
word = aches, count = 9
word = achieved, count = 4
word = achievementthough, count = 1
word = achilles, count = 11
word = aching, count = 13
word = acknowledged, count = 6
word = acknowledging, count = 7
word = acknowledgments, count = 1
word = acme, count = 3
word = acquaintancehe, count = 1
word = acquaintances, count = 49
word = acquainted, count = 22
word = acquired, count = 14
word = acquiring, count = 4
word = acrobat, count = 1
word = across, count = 152
word = actact, count = 1
word = acted, count = 31
word = acting, count = 22
word = actionhe, count = 1
word = actions, count = 79
word = active, count = 38
word = actor, count = 3
word = acts, count = 12
word = actuated, count = 2
word = acutely, count = 8
word = adam, count = 3
word = adapt, count = 1
word = adapted, count = 3
word = adapting, count = 2
word = addedallusions, count = 1
word = adding, count = 13
word = additional, count = 23
word = addled, count = 1
word = adds, count = 2
word = adducing, count = 1
word = adele, count = 1
word = adhered, count = 2
word = adheres, count = 1
word = adhesion, count = 1
word = adjust, count = 1
word = adjusted, count = 9
word = adjusting, count = 4
word = adjutantsgeneral, count = 1
word = administration, count = 4
word = administrator, count = 3
word = admiration, count = 15
word = admired, count = 20
word = admires, count = 1
word = admiring, count = 11
word = admithe, count = 1
word = admits, count = 3
word = admonishes, count = 1
word = admonishing, count = 2
word = admonitory, count = 1
word = adrianople, count = 1
word = advanced, count = 62
word = advances, count = 3
word = advancing, count = 28
word = advantage, count = 73
word = advent, count = 1
word = advertising, count = 2
word = advisable, count = 1
word = advise, count = 13
word = adviser, count = 2
word = advocated, count = 1
word = advocates, count = 3
word = affable, count = 3
word = affairs, count = 136
word = affairsnear, count = 1
word = affairsthis, count = 1
word = affairyes, count = 1
word = affinity, count = 3
word = affirmative, count = 2
word = afflicted, count = 1
word = affliction, count = 1
word = affords, count = 2
word = affright, count = 2
word = affronts, count = 1
word = aforesaid, count = 1
word = afraid, count = 289
word = afraidthe, count = 1
word = afresh, count = 10
word = afrosinya, count = 1
word = afternoon, count = 26
word = afterward, count = 3
word = afterwardsyou, count = 1
word = againand, count = 1
word = againanother, count = 1
word = againbut, count = 1
word = againthat, count = 1
word = age, count = 68
word = agei, count = 1
word = agencies, count = 1
word = agents, count = 1
word = agesthat, count = 1
word = aggrieved, count = 6
word = agileshe, count = 1
word = agitation, count = 52
word = agoand, count = 1
word = agonized, count = 2
word = agonizing, count = 6
word = agree, count = 115
word = agreeing, count = 1
word = agreewith, count = 1
word = agricultural, count = 1
word = ague, count = 2
word = aguethere, count = 1
word = aha, count = 4
word = ahahah, count = 1
word = ahead, count = 42
word = ahing, count = 1
word = aidedecamps, count = 1
word = aidesdecamp, count = 16
word = aieaie, count = 1
word = aime, count = 5
word = aimless, count = 5
word = aimsonly, count = 1
word = aimsthe, count = 1
word = air, count = 233
word = airlessness, count = 1
word = akimbo, count = 6
word = alarm, count = 77
word = alarmed, count = 29
word = alarming, count = 5
word = alchemist, count = 1
word = alcohol, count = 2
word = alertly, count = 1
word = alexander, count = 116
word = alexandersbekleshev, count = 1
word = alexanderthough, count = 1
word = alexandre, count = 2
word = alexandrovna, count = 118
word = alexeevichs, count = 7
word = alexey, count = 2
word = alexyevitch, count = 1
word = alienating, count = 1
word = alight, count = 3
word = alighted, count = 2
word = alighting, count = 2
word = all, count = 5266
word = allay, count = 2
word = allayed, count = 1
word = allcarried, count = 1
word = alldeath, count = 1
word = allegorical, count = 1
word = alleverything, count = 2
word = alleviate, count = 1
word = allgood, count = 1
word = alliance, count = 18
word = alloitil, count = 1
word = allot, count = 1
word = allow, count = 116
word = allowed, count = 57
word = allowing, count = 7
word = allseeing, count = 1
word = allshe, count = 1
word = allthats, count = 1
word = allure, count = 1
word = allurements, count = 1
word = alluringly, count = 1
word = almonds, count = 1
word = almsthe, count = 1
word = aloft, count = 1
word = aloneher, count = 1
word = aloneincurring, count = 1
word = alonelet, count = 1
word = alonewho, count = 1
word = alouda, count = 1
word = alpatychs, count = 3
word = alphonse, count = 1
word = already, count = 495
word = alterations, count = 1
word = alternate, count = 7
word = alternatives, count = 1
word = alters, count = 1
word = altogethershe, count = 1
word = always, count = 717
word = amazingly, count = 1
word = amazingsomething, count = 1
word = amber, count = 1
word = ambiguous, count = 5
word = amble, count = 2
word = ambler, count = 1
word = ambulance, count = 5
word = ambuscade, count = 1
word = ame, count = 1
word = amelie, count = 2
word = americathe, count = 1
word = amiability, count = 3
word = amiably, count = 10
word = amidst, count = 4
word = amie, count = 2
word = amorous, count = 4
word = amount, count = 12
word = amounted, count = 4
word = amounting, count = 1
word = amphilochus, count = 1
word = amstetten, count = 1
word = amulet, count = 1
word = amused, count = 28
word = amusement, count = 14
word = amuses, count = 3
word = amusing, count = 33
word = ana, count = 1
word = analogy, count = 1
word = analysed, count = 3
word = analyses, count = 1
word = analysing, count = 2
word = analyze, count = 3
word = anatoles, count = 14
word = ancestors, count = 5
word = ancestral, count = 2
word = anchorage, count = 1
word = ancient, count = 26
word = and, count = 35241
word = andas, count = 1
word = andi, count = 3
word = andre, count = 2
word = andrealised, count = 1
word = andreevich, count = 7
word = andrewa, count = 1
word = andrewand, count = 1
word = andrewnot, count = 1
word = andrewrelapsing, count = 1
word = andrews, count = 96
word = andrewsaid, count = 1
word = andrewspoke, count = 1
word = andrushas, count = 1
word = andrushathe, count = 1
word = andsickened, count = 1
word = anew, count = 4
word = angel, count = 27
word = angelic, count = 2
word = angelically, count = 1
word = anger, count = 73
word = angered, count = 7
word = angle, count = 11
word = angrier, count = 3
word = angrybut, count = 1
word = angrythat, count = 1
word = animals, count = 19
word = animate, count = 1
word = animatedly, count = 1
word = animation, count = 33
word = anisya, count = 15
word = anne, count = 42
word = annettehow, count = 1
word = anniversary, count = 4
word = announce, count = 14
word = announcements, count = 2
word = annoy, count = 6
word = annoyed, count = 13
word = annoying, count = 6
word = anonymous, count = 5
word = another, count = 924
word = anotherpierre, count = 1
word = answers, count = 23
word = antagonism, count = 1
word = antecedents, count = 1
word = anterooms, count = 1
word = anticipate, count = 3
word = anticipation, count = 9
word = antics, count = 2
word = antifrench, count = 1
word = antihero, count = 1
word = antipathies, count = 1
word = antipathy, count = 7
word = antique, count = 4
word = anxiously, count = 21
word = any, count = 1010
word = anyoneall, count = 1
word = anyones, count = 13
word = anyonewhile, count = 1
word = anythinganything, count = 1
word = anythingfor, count = 2
word = anythingpolenka, count = 1
word = anywhere, count = 45
word = anywherei, count = 1
word = apartment, count = 6
word = ape, count = 7
word = apex, count = 1
word = apiece, count = 3
word = apocalypse, count = 4
word = apologies, count = 4
word = apologise, count = 5
word = apologizing, count = 4
word = apoplexy, count = 2
word = appallingly, count = 1
word = apparently, count = 81
word = apparition, count = 2
word = appeal, count = 26
word = appealed, count = 5
word = appealing, count = 3
word = appear, count = 73
word = appearance, count = 96
word = appearancetall, count = 1
word = appeared, count = 155
word = appearing, count = 17
word = appease, count = 2
word = appellations, count = 1
word = applauding, count = 2
word = apples, count = 5
word = applicable, count = 17
word = application, count = 8
word = applied, count = 16
word = applies, count = 1
word = appointment, count = 20
word = appositeness, count = 1
word = appraising, count = 1
word = appreciated, count = 14
word = appreciating, count = 1
word = appreciative, count = 1
word = apprehend, count = 1
word = apprehension, count = 7
word = apprehensively, count = 2
word = approach, count = 39
word = approve, count = 12
word = approvingly, count = 8
word = appétit, count = 1
word = apraksina, count = 5
word = apraksins, count = 2
word = apsheron, count = 4
word = apt, count = 10
word = aptitude, count = 4
word = aquaintances, count = 1
word = arab, count = 5
word = arbat, count = 8
word = arbour, count = 3
word = arc, count = 2
word = archdukes, count = 1
word = arched, count = 6
word = arching, count = 3
word = architect, count = 17
word = architecture, count = 1
word = archive, count = 69
word = archiveamerican, count = 2
word = ardently, count = 1
word = ardorall, count = 1
word = arduous, count = 1
word = area, count = 2
word = areat, count = 1
word = argument, count = 22
word = argumentatively, count = 1
word = arias, count = 1
word = arinka, count = 1
word = arisen, count = 5
word = arkady, count = 199
word = armand, count = 2
word = armchairs, count = 2
word = armee, count = 1
word = armenian, count = 6
word = armfuls, count = 1
word = armhole, count = 2
word = armiesboth, count = 1
word = armpits, count = 3
word = armyfirst, count = 1
word = armynapoleon, count = 1
word = armyphysically, count = 1
word = armywhich, count = 3
word = aroma, count = 2
word = arrangement, count = 12
word = arrangingat, count = 1
word = arrant, count = 2
word = array, count = 7
word = arrest, count = 21
word = arrested, count = 28
word = arrival, count = 66
word = arrivedhe, count = 1
word = arrow, count = 7
word = arsenic, count = 1
word = arshin, count = 1
word = artful, count = 2
word = articles, count = 12
word = articulate, count = 5
word = artificially, count = 4
word = artillery, count = 53
word = artillerymen, count = 7
word = artist, count = 17
word = artistic, count = 9
word = artistically, count = 1
word = arts, count = 2
word = ascendant, count = 1
word = ascertain, count = 8
word = ascetic, count = 1
word = asch, count = 2
word = ascribe, count = 4
word = ash, count = 2
word = ashamed, count = 137
word = ashamedshe, count = 1
word = asiatique, count = 2
word = ask, count = 362
word = askance, count = 12
word = askeddont, count = 1
word = aspectshe, count = 1
word = assailant, count = 5
word = assault, count = 2
word = assemblies, count = 1
word = assembling, count = 2
word = assembly, count = 2
word = assent, count = 5
word = assented, count = 20
word = assenting, count = 2
word = assertion, count = 2
word = asses, count = 1
word = assignat, count = 1
word = assignation, count = 1
word = assigned, count = 14
word = assist, count = 13
word = assistance, count = 24
word = assisted, count = 2
word = assisting, count = 1
word = association, count = 1
word = assume, count = 32
word = assumptionit, count = 1
word = assured, count = 28
word = assuring, count = 8
word = astonish, count = 3
word = astray, count = 6
word = astrolabe, count = 3
word = astrologers, count = 9
word = astronomy, count = 8
word = astwide, count = 2
word = athe, count = 1
word = athletic, count = 1
word = atom, count = 5
word = atrocities, count = 1
word = atrocity, count = 1
word = attacks, count = 18
word = attempting, count = 6
word = attempts, count = 13
word = attendant, count = 14
word = attendre, count = 1
word = attentions, count = 10
word = attentiveness, count = 1
word = atthe, count = 1
word = attitudevery, count = 1
word = attracting, count = 7
word = attractions, count = 5
word = attractive, count = 27
word = attracts, count = 3
word = au, count = 19
word = audacity, count = 5
word = audible, count = 28
word = audiences, count = 1
word = audiencewhich, count = 1
word = augen, count = 1
word = augesd, count = 5
word = aunts, count = 2
word = auntthat, count = 1
word = aussi, count = 1
word = austrias, count = 4
word = austroprussian, count = 1
word = authority, count = 38
word = authors, count = 8
word = autobiography, count = 1
word = autocrat, count = 1
word = automobile, count = 1
word = autumn, count = 33
word = aux, count = 1
word = avail, count = 10
word = availed, count = 2
word = availing, count = 8
word = ave, count = 1
word = avec, count = 3
word = avenge, count = 8
word = avenues, count = 3
word = averages, count = 1
word = avert, count = 4
word = averted, count = 5
word = averting, count = 2
word = avoid, count = 82
word = avoided, count = 33
word = avoiding, count = 20
word = await, count = 16
word = awaited, count = 38
word = awaiting, count = 57
word = awaked, count = 1
word = awaking, count = 1
word = awards, count = 3
word = aware, count = 56
word = awareness, count = 1
word = awayand, count = 1
word = awayyou, count = 6
word = awful, count = 57
word = awkward, count = 41
word = awry, count = 5
word = ax, count = 7
word = axes, count = 4
word = aye, count = 1
word = azov, count = 1
word = baa, count = 2
word = baal, count = 1
word = babble, count = 4
word = babbler, count = 2
word = babe, count = 3
word = babyhood, count = 1
word = bacchus, count = 2
word = backbut, count = 1
word = backreflect, count = 1
word = backs, count = 15
word = backward, count = 7
word = bad, count = 179
word = badge, count = 4
