Received data = , name = , count = 15
Received data = , name = 1c, count = 2
Received data = , name = 1e2, count = 1
Received data = , name = 1e6, count = 1
Received data = , name = 1f1, count = 1
Received data = , name = 1f5, count = 1
Received data = , name = 2006, count = 1
Received data = , name = 4, count = 3
Received data = , name = 501c3, count = 2
Received data = , name = 5961887, count = 1
Received data = , name = 84116, count = 1
Received data = , name = 99712, count = 1
Received data = , name = able, count = 3
Received data = , name = abuse, count = 2
Received data = , name = accept, count = 1
Received data = , name = act, count = 4
Received data = , name = active, count = 3
Received data = , name = addition, count = 1
Received data = , name = adjusted, count = 1
Received data = , name = afterward, count = 1
Received data = , name = again, count = 13
Received data = , name = agree, count = 9
Received data = , name = agreed, count = 1
Received data = , name = agreement, count = 18
Received data = , name = air, count = 4
Received data = , name = ak, count = 1
Received data = , name = allowed, count = 1
Received data = , name = almost, count = 7
Received data = , name = alternate, count = 1
Received data = , name = answer, count = 2
Received data = , name = antiquities, count = 1
Received data = , name = any, count = 46
Received data = , name = appearance, count = 1
Received data = , name = appears, count = 1
Received data = , name = appointed, count = 1
Received data = , name = apprehension, count = 1
Received data = , name = are, count = 45
Received data = , name = arise, count = 1
Received data = , name = as, count = 47
Received data = , name = ashcat, count = 1
Received data = , name = asis, count = 1
Received data = , name = asked, count = 3
Received data = , name = associated, count = 8
Received data = , name = attempted, count = 1
Received data = , name = aunt, count = 13
Received data = , name = beat, count = 1
Received data = , name = because, count = 9
Received data = , name = believe, count = 2
Received data = , name = benediction, count = 1
Received data = , name = beyou, count = 1
Received data = , name = blameless, count = 1
Received data = , name = blithe, count = 1
Received data = , name = blood, count = 1
Received data = , name = bound, count = 2
Received data = , name = bowl, count = 1
Received data = , name = bringing, count = 1
Received data = , name = burlesque, count = 1
Received data = , name = burned, count = 2
Received data = , name = burst, count = 2
Received data = , name = business, count = 3
Received data = , name = call, count = 3
Received data = , name = carnival, count = 6
Received data = , name = case, count = 2
Received data = , name = charities, count = 2
Received data = , name = charity, count = 2
Received data = , name = cheery, count = 1
Received data = , name = child, count = 2
Received data = , name = chuckling, count = 1
Received data = , name = chunks, count = 1
Received data = , name = clearly, count = 1
Received data = , name = clutched, count = 1
Received data = , name = collection, count = 4
Received data = , name = come, count = 14
Received data = , name = commercial, count = 1
Received data = , name = comply, count = 6
Received data = , name = concept, count = 2
Received data = , name = conduct, count = 1
Received data = , name = confound, count = 1
Received data = , name = consequences, count = 2
Received data = , name = contact, count = 4
Received data = , name = contain, count = 2
Received data = , name = contemplated, count = 1
Received data = , name = , count = 61
Received data = , name = 0, count = 2
Received data = , name = 13, count = 1
Received data = , name = 14—‘for, count = 1
Received data = , name = 17, count = 1
Received data = , name = 1869, count = 1
Received data = , name = 1870, count = 1
Received data = , name = 1874, count = 1
Received data = , name = 1c, count = 2
Received data = , name = 1e2, count = 1
Received data = , name = 1e6, count = 1
Received data = , name = 1f1, count = 1
Received data = , name = 1f5, count = 1
Received data = , name = 26, count = 3
Received data = , name = cook, count = 3
Received data = , name = copied, count = 2
Received data = , name = cord, count = 1
Received data = , name = 4, count = 7
Received data = , name = corporation, count = 1
Received data = , name = 40, count = 1
Received data = , name = costs, count = 2
Received data = , name = 44, count = 2
Received data = , name = 4d, count = 1
Received data = , name = countries, count = 1
Received data = , name = country, count = 2
Received data = , name = courts, count = 1
Received data = , name = 501c3, count = 1
Received data = , name = covered, count = 1
Received data = , name = 5961887, count = 1
Received data = , name = created, count = 2
Received data = , name = 8, count = 5
Received data = , name = 84116, count = 1
Received data = , name = crime, count = 6
Received data = , name = 99712, count = 1
Received data = , name = cruelty, count = 1
Received data = , name = able, count = 3
Received data = , name = abounds, count = 1
Received data = , name = abraham, count = 2
Received data = , name = accept, count = 2
Received data = , name = darted, count = 1
Received data = , name = accompanied, count = 1
Received data = , name = david, count = 2
Received data = , name = deaf, count = 1
Received data = , name = acknowledge, count = 1
Received data = , name = acknowledged, count = 1
Received data = , name = dear, count = 1
Received data = , name = act, count = 4
Received data = , name = declined, count = 1
Received data = , name = active, count = 2
Received data = , name = degree, count = 1
Received data = , name = , count = 15
Received data = , name = addition, count = 1
Received data = , name = 1c, count = 2
Received data = , name = 1e2, count = 1
Received data = , name = 1e6, count = 1
Received data = , name = 1f1, count = 1
Received data = , name = 1f5, count = 1
Received data = , name = 4, count = 3
Received data = , name = 501c3, count = 2
Received data = , name = 5961887, count = 1
Received data = , name = 84116, count = 1
Received data = , name = 99712, count = 1
Received data = , name = aaaa, count = 1
Received data = , name = delivered, count = 1
Received data = , name = abed, count = 1
Received data = , name = able, count = 2
Received data = , name = addressing, count = 1
Received data = , name = abstract, count = 1
Received data = , name = accept, count = 2
Received data = , name = admitted, count = 1
Received data = , name = accounts, count = 3
Received data = , name = accustomed, count = 2
Received data = , name = active, count = 2
Received data = , name = addition, count = 1
Received data = , name = addressing, count = 3
Received data = , name = adjusted, count = 1
Received data = , name = admonished, count = 1
Received data = , name = advice, count = 2
Received data = , name = affairs, count = 2
Received data = , name = depend, count = 1
Received data = , name = afraidyou, count = 1
Received data = , name = again, count = 65
Received data = , name = agree, count = 9
Received data = , name = agreed, count = 2
Received data = , name = agreement, count = 20
Received data = , name = aimed, count = 1
Received data = , name = ak, count = 1
Received data = , name = almost, count = 9
Received data = , name = alternate, count = 1
Received data = , name = although, count = 1
Received data = , name = amount, count = 1
Received data = , name = andreevichs, count = 5
Received data = , name = advice, count = 1
Received data = , name = anothers, count = 1
Received data = , name = answer, count = 7
Received data = , name = any, count = 51
Received data = , name = apart, count = 1
Received data = , name = apparently, count = 2
Received data = , name = appears, count = 1
Received data = , name = approaching, count = 1
Received data = , name = apron, count = 1
Received data = , name = arching, count = 1
Received data = , name = are, count = 52
Received data = , name = arise, count = 1
Received data = , name = arm, count = 3
Received data = , name = armpits, count = 1
Received data = , name = arrange, count = 1
Received data = , name = arranged, count = 1
Received data = , name = as, count = 127
Received data = , name = asis, count = 1
Received data = , name = asked, count = 17
Received data = , name = associated, count = 8
Received data = , name = astray, count = 10
Received data = , name = again, count = 9
Received data = , name = awaiting, count = 2
Received data = , name = desire, count = 1
Received data = , name = awakened, count = 1
Received data = , name = aware, count = 2
Received data = , name = badly, count = 1
Received data = , name = bank, count = 2
Received data = , name = bargain, count = 1
Received data = , name = bark, count = 1
Received data = , name = bay, count = 1
Received data = , name = beat, count = 3
Received data = , name = because, count = 16
Received data = , name = believe, count = 2
Received data = , name = belly, count = 1
Received data = , name = agree, count = 12
Received data = , name = bench, count = 2
Received data = , name = beside, count = 8
Received data = , name = agreed, count = 3
Received data = , name = devil, count = 2
Received data = , name = bite, count = 2
Received data = , name = agreement, count = 19
Received data = , name = devilish, count = 2
Received data = , name = boiling, count = 1
Received data = , name = bone, count = 1
Received data = , name = boot, count = 2
Received data = , name = bound, count = 2
Received data = , name = boundary, count = 2
Received data = , name = bow, count = 1
Received data = , name = boygod, count = 1
Received data = , name = ak, count = 1
Received data = , name = brassstudded, count = 1
Received data = , name = breakingup, count = 1
Received data = , name = breathing, count = 5
Received data = , name = breathingspace, count = 1
Received data = , name = breechingstraps, count = 1
Received data = , name = brekhunov, count = 5
Received data = , name = bright, count = 1
Received data = , name = bringing, count = 2
Received data = , name = briskly, count = 1
Received data = , name = broad, count = 2
Received data = , name = alienating, count = 1
Received data = , name = bulging, count = 1
Received data = , name = bunk, count = 1
Received data = , name = burden, count = 1
Received data = , name = burst, count = 1
Received data = , name = business, count = 10
Received data = , name = buy, count = 3
Received data = , name = cackling, count = 1
Received data = , name = call, count = 3
Received data = , name = cap, count = 4
Received data = , name = carcass, count = 2
Received data = , name = case, count = 1
Received data = , name = cat, count = 1
Received data = , name = directly, count = 1
Received data = , name = caught, count = 4
Received data = , name = allowed, count = 1
Received data = , name = director, count = 1
Received data = , name = charities, count = 1
Received data = , name = cheek, count = 1
Received data = , name = cheered, count = 3
Received data = , name = child, count = 2
Received data = , name = christs, count = 1
Received data = , name = cigarette, count = 8
Received data = , name = cigarettecase, count = 1
Received data = , name = disclaimers, count = 1
Received data = , name = almost, count = 12
Received data = , name = discovered, count = 1
Received data = , name = altar, count = 3
Received data = , name = alternate, count = 1
Received data = , name = although, count = 2
Received data = , name = displaying, count = 4
Received data = , name = dissatisfaction, count = 1
Received data = , name = dissembled, count = 1
Received data = , name = amount, count = 1
Received data = , name = distributing, count = 7
Received data = , name = distribution, count = 6
Received data = , name = annually, count = 1
Received data = , name = answer, count = 5
Received data = , name = domain, count = 8
Received data = , name = any, count = 83
Received data = , name = donation, count = 1
Received data = , name = apostasies, count = 1
Received data = , name = apostasy, count = 1
Received data = , name = doomsday, count = 1
Received data = , name = door, count = 10
Received data = , name = apparently, count = 2
Received data = , name = doorwhat, count = 1
Received data = , name = appearance, count = 2
Received data = , name = down, count = 6
Received data = , name = appears, count = 10
Received data = , name = downtown, count = 1
Received data = , name = application, count = 1
Received data = , name = drawlbaby, count = 1
Received data = , name = drawling, count = 1
Received data = , name = approaching, count = 3
Received data = , name = araunah, count = 1
Received data = , name = droop, count = 1
Received data = , name = are, count = 177
Received data = , name = arise, count = 8
Received data = , name = arm, count = 1
Received data = , name = armed’, count = 1
Received data = , name = dwarf, count = 4
Received data = , name = eager, count = 1
Received data = , name = ear, count = 1
Received data = , name = earth, count = 1
Received data = , name = arranged, count = 2
Received data = , name = as, count = 178
Received data = , name = eating, count = 1
Received data = , name = ebook, count = 11
Received data = , name = edition, count = 1
Received data = , name = asis, count = 1
Received data = , name = ein, count = 1
Received data = , name = associated, count = 9
Received data = , name = electronic, count = 27
Received data = , name = elses, count = 1
Received data = , name = elsewhere, count = 2
Received data = , name = email, count = 4
Received data = , name = atlantic, count = 1
Received data = , name = employee, count = 1
