Received data = , name = 1, count = 2
Received data = , name = 1d, count = 1
Received data = , name = 1e3, count = 1
Received data = , name = 1e7, count = 3
Received data = , name = 1f2, count = 1
Received data = , name = 1f6, count = 1
Received data = , name = 4557, count = 1
Received data = , name = 5, count = 1
Received data = , name = 50, count = 1
Received data = , name = 5000, count = 1
Received data = , name = 801, count = 1
Received data = , name = 809, count = 1
Received data = , name = 90, count = 2
Received data = , name = a, count = 255
Received data = , name = abide, count = 1
Received data = , name = abroad, count = 1
Received data = , name = accepted, count = 2
Received data = , name = accidentally, count = 1
Received data = , name = account, count = 1
Received data = , name = accusing, count = 1
Received data = , name = acknowledging, count = 1
Received data = , name = additional, count = 4
Received data = , name = affect, count = 2
Received data = , name = age, count = 1
Received data = , name = ah, count = 2
Received data = , name = alertness, count = 1
Received data = , name = alive, count = 1
Received data = , name = all, count = 52
Received data = , name = alloy, count = 1
Received data = , name = almshouse, count = 1
Received data = , name = along, count = 1
Received data = , name = aloud, count = 1
Received data = , name = always, count = 10
Received data = , name = anger, count = 2
Received data = , name = another, count = 6
Received data = , name = answered, count = 1
Received data = , name = anyway, count = 1
Received data = , name = appear, count = 2
Received data = , name = applicable, count = 3
Received data = , name = around, count = 3
Received data = , name = arrive, count = 1
Received data = , name = ascii, count = 2
Received data = , name = asking, count = 1
Received data = , name = assorted, count = 1
Received data = , name = at, count = 53
Received data = , name = august, count = 1
Received data = , name = authority, count = 2
Received data = , name = available, count = 2
Received data = , name = awake, count = 1
Received data = , name = back, count = 5
Received data = , name = became, count = 2
Received data = , name = beforewhen, count = 1
Received data = , name = began, count = 7
Received data = , name = begin, count = 3
Received data = , name = beginning, count = 1
Received data = , name = being, count = 2
Received data = , name = below, count = 3
Received data = , name = benefit, count = 1
Received data = , name = bent, count = 1
Received data = , name = betters, count = 1
Received data = , name = binary, count = 1
Received data = , name = blame, count = 2
Received data = , name = blind, count = 1
Received data = , name = bliss, count = 3
Received data = , name = blister, count = 1
Received data = , name = bootjack, count = 1
Received data = , name = both, count = 3
Received data = , name = bottom, count = 1
